"&#2327;&#2371;&#2361; &#2346;&#2371;&#2359;&#2381;&#8205;&#2336;","home","0"
"वातावरण विभागमा तपाइँहरु लाई स्वागत छ","welcome-to-department-of-environment","0"
"News and Events","news-and-events","0"
"News and Events 1 News and Events 1 News and Events 1","news-and-events-1-news-and-events-1-news-and-events-1","574"
"News and Events 2","news-and-events-2","574"
"News and Events 3","news-and-events-3","574"
"News and Events 4","news-and-events-4","574"
"Bulletion","bulletion","0"
"ताजा समाचार","hot-news","0"
"Video","video","0"
"Our Publications","our-publications","0"
"Our Audios","our-audios","584"
"Our Videos","our-videos","584"
"krishi 19  magh  2073","krishi-19-magh-2073","601"
"NABINKRISHI 20730820","nabinkrishi-20730820","601"
"KRISHAKKOSAROKAR 2073-08-16","krishakkosarokar-2073-08-16","601"
"NABINKRISHI 2073-08-20","nabinkrishi-2073-08-20","601"
"&#2361;&#2366;&#2350;&#2381;&#2352;&#2379; &#2348;&#2366;&#2352;&#2375;&#2350;&#2366;","about-us","0"
"Report 1 Report 1 Report 1 Report 1 Report 1 Report 1","report-1-report-1-report-1-report-1-report-1-report-1","588"
"Report 2","report-2","588"
"&#2349;&#2367;&#2337;&#2367;&#2351;&#2379;","youtube","0"
"डी जी को संदेश","message-from-dg","0"
"Sldier","sldier","0"
"उदेश्य","mission","338"
"Pollution","pollution","625"
"EIA","eia125","625"
"बजेट र कार्यक्रम","budget","0"
"डाउनलोड","download","0"
"सूचना अधिकारी","information-officer","0"
"प्रवक्ता","message-from-spokeperson","0"
"उद्योग मन्त्रालय ","ministry-of-industry","0"
"About Us ","about-us-navigation","0"
"Activities","activities","0"
"Environment Info","environment-info","0"
"Reports","reports","0"
"Rule and Standard","rule-and-standard","0"
"Download Center","download-center","0"
"Notice","notice","0"
"Press Release","press-release","0"
"Bill Information","bill-information","0"
"Career","career","0"
"Complain / Report Us","complain-report-us","0"
"सम्पर्क","contact-us","0"
"फाेटाे ग्यालरी","photo-gallery","685"
"प्रशासन, योजना तथा प्रवद्र्धन शाखा","administration-planning-and-promotion-section","549"
"हाम्रो वारे","about-doenv","338"
"कृषि विकास मन्त्रालय","ministry-of-agricultural-development","0"
"जनसंख्या तथा वातावरण मन्त्रालय","ministry-of-population-and-environment","0"
,"629","628"
"First Download test","first-download-test","591"
"First Audio first audio first audio first audio","first-audio-first-audio-first-audio-first-audio","585"
"Second Audio","second-audio","585"
"महाशाखा र शाखा","division","0"
"Event 4 Gallery","event-4-gallery","625"
"Event 3 Gallery","event-3-gallery","625"
,"631","630"
,"632","630"
"कमर्चारी","staff-doenv","338"
"शाखा अधिकृत","sakha-adhikrit","654"
"मे.इ. (रा.प.तृ. इन्जि, मेका. ज.मे.)","me-ye","654"
"वातावरण निरीक्षक (रा.प.तृतीय, विविध)","environment-nirichak","654"
"वातावरणीय प्रभाव मुल्यांकन तथा अनुगमन शाखा","environmental-impact-assessment","549"
"वातावरणीय प्रभाव अनुकुलन शाखा","environmental-impact-adaption-section","549"
"आर्थिक प्रशासन शाखा","financial-administration-section","549"
"प्रयोगशाला शाखा","laboratory-section","549"
"कार्य","main-activities-function","338"
"संगठन","organization-chart","338"
"कर्मचारीहरुको विवरण","staff","338"
"टेलिपफेान ","telephone-list","338"
,"637","633"
,"638","633"
,"639","633"
,"640","633"
"Event 5 Gallery","event-5-gallery","625"
,"642","641"
"निर्देशक (रा.प.द्वि., प्र.,सा.प्र .)","nirdasak1","611"
"शाखाअधिृ कत (रा.प.तृ . प्र.सा.प्र .)","saka1","611"
"केमिष्ट (रा.प.तृ.इन्जि., केमिष्ट्री)","chemist","654"
"वातावरणीय प्रदुषण नियन्त्रण तथा अनुगमन शाखा","environmental-pollution-control-and-monitoring-section","549"
"वातावरण प्रबद्र्धन शाखा","environment-promotion-section","549"
"कानून अधिकृत (रा.प.तृ. न्याय, कानून)","kanun adhikrit","611"
"नायब सुब्बा (रा.प.अनं प्र., सा. प्र.)","nayab-subba","611"
"कम्प्युटर अपरेटर (रा.प.अनं. प्र. विविध)","computer-operator","611"
"निर्देशक (रा.प.द्वि. इन्जि., केमिष्ट्री )","nirdesak","654"
"निर्देशक (रा.प.द्वि. वन , बोटानी)","nirdesakbotany","613"
"सिभिल इन्जिनियर (रा.प.तृ. इन्जि, सिभिल, हाइड्रोपावर)","civil-engineer","613"
"इन्जिनियर,(रा.प.तृ.इन्जि.,सिभिल, वि.एण्ड आर्कि)","engineer","613"
"कृषि अर्थ विज्ञ (रा.प.तृतीय, प्रा.कृषि, एगृ इको)","krishi-artha-bidth","613"
"वातावरण निरीक्षक (रा.प.तृतीय, विविध)","environment","613"
"जियोलोजिष्ट (रा.प.तृतीय, ईन्जि.जियोलोजी, जनरल)","geologist","613"
"निर्देशक (रा.प.द्वि.कृषि,एगृ इको एण्ड मार्केटिङ्ग)","nirdesak-eco and marketing","614"
"वातावरण निरिक्षक (रा.प.तृतीय, विविध)","batabaran-nidesak","614"
"मेकानिकल इञ्जिनियर (रा.प.तृ., प्रा.,इन्जि., मेका, ज.मे.)","mechanical-engineering","614"
"सहायक वन अधिकृत (रा.प.तृतीय वन, ज.फ.)","sahayak-ban-adhikrit","614"
"लेखा अधिकृत (रा.प.तृ.,प्र., लेखा)","lekha-adhikrit","615"
"सह–लेखापाल (रा.प.अन. द्वितीय प्र.्र, लेखा)","saha-lekhapal","615"
"निर्देशक (सि.डि.के.,रा.प.द्वि., इन्जि. केमिष्ट्री)","nirdesak-eng-chemistry","616"
"केमिष्ट (रा.प.तृ.,इन्जि, केमिष्ट्री)","chemist-eng-chemistry","616"
"ल्याब असिस्टेन्ट (रा.प.अनं.प्रथम ,ईन्जि.केमिष्ट्री","lab-assistant","616"
"निर्देशक (रा.प.द्वि., प्र. सा.प्र.)","director","648"
"शाखा अधिकृत (रा.प.तृ.,प्रशासन)","sakha-adhikrit1","648"
"कम्प्युटर अधिकृत (रा.प.तृतीय, विविध)","computer-adhikrit","648"
